Country,ISO,ADM
South Georgia and the South Sandwich Islands,SGS,ADM1
South Georgia and the South Sandwich Islands,SGS,ADM2
South Georgia and the South Sandwich Islands,SGS,ADM3
South Georgia and the South Sandwich Islands,SGS,ADM4
South Sudan,SSD,ADM3
South Sudan,SSD,ADM4
Spain,ESP,ADM4
State of Palestine,PSE,ADM3
State of Palestine,PSE,ADM4
Sudan,SDN,ADM3
Sudan,SDN,ADM4
Suriname,SUR,ADM3
Suriname,SUR,ADM4
Svalbard and Jan Mayen Islands,SJM,ADM0
Svalbard and Jan Mayen Islands,SJM,ADM1
Svalbard and Jan Mayen Islands,SJM,ADM2
Svalbard and Jan Mayen Islands,SJM,ADM3
Svalbard and Jan Mayen Islands,SJM,ADM4
Sweden,SWE,ADM4
Switzerland,CHE,ADM4
Syrian Arab Republic,SYR,ADM4
Tajikistan,TJK,ADM3
Tajikistan,TJK,ADM4
Thailand,THA,ADM3
Thailand,THA,ADM4
Timor-Leste,TLS,ADM3
Timor-Leste,TLS,ADM4
Togo,TGO,ADM3
Togo,TGO,ADM4
Tokelau,TKL,ADM1
Tokelau,TKL,ADM2
Tokelau,TKL,ADM3
Tokelau,TKL,ADM4
Tonga,TON,ADM3
Tonga,TON,ADM4
Trinidad and Tobago,TTO,ADM2
Trinidad and Tobago,TTO,ADM3
Trinidad and Tobago,TTO,ADM4
Tunisia,TUN,ADM4
Turkey,TUR,ADM3
Turkey,TUR,ADM4
Turkmenistan,TKM,ADM3
Turkmenistan,TKM,ADM4
Turks and Caicos Islands,TCA,ADM1
Turks and Caicos Islands,TCA,ADM2
Turks and Caicos Islands,TCA,ADM3
Turks and Caicos Islands,TCA,ADM4
Tuvalu,TUV,ADM4
Ukraine,UKR,ADM4
United Arab Emirates,ARE,ADM2
United Arab Emirates,ARE,ADM3
United Arab Emirates,ARE,ADM4
United Kingdom of Great Britain and Northern Ireland,GBR,ADM4
United Republic of Tanzania,TZA,ADM4
United States Minor Outlying Islands,UMI,ADM0
United States Minor Outlying Islands,UMI,ADM1
United States Minor Outlying Islands,UMI,ADM2
United States Minor Outlying Islands,UMI,ADM3
United States Minor Outlying Islands,UMI,ADM4
United States of America,USA,ADM3
United States of America,USA,ADM4
United States Virgin Islands,VIR,ADM1
United States Virgin Islands,VIR,ADM2
United States Virgin Islands,VIR,ADM4
Uruguay,URY,ADM3
Uruguay,URY,ADM4
Uzbekistan,UZB,ADM3
Uzbekistan,UZB,ADM4
Vanuatu,VUT,ADM4
Venezuela (Bolivarian Republic of),VEN,ADM3
Venezuela (Bolivarian Republic of),VEN,ADM4
Viet Nam,VNM,ADM3
Viet Nam,VNM,ADM4
Wallis and Futuna Islands,WLF,ADM1
Wallis and Futuna Islands,WLF,ADM2
Wallis and Futuna Islands,WLF,ADM3
Wallis and Futuna Islands,WLF,ADM4
Western Sahara,ESH,ADM0
Western Sahara,ESH,ADM1
Western Sahara,ESH,ADM2
Western Sahara,ESH,ADM3
Western Sahara,ESH,ADM4
Yemen,YEM,ADM3
Yemen,YEM,ADM4
Zambia,ZMB,ADM3
Zambia,ZMB,ADM4
Zimbabwe,ZWE,ADM4
